name,salary_from,salary_to,salary_currency,area_name,published_at
IT аналитик,35000.0,45000.0,RUR,Санкт-Петербург,2007-12-03T17:34:36+0300
Аналитик-проектировщик ПО,55000.0,60000.0,RUR,Санкт-Петербург,2007-12-03T17:40:09+0300
Системный аналитик,75000.0,95000.0,RUR,Москва,2007-12-03T17:41:49+0300
Инженер поддержки пользователей,35000.0,45000.0,RUR,Москва,2007-12-03T17:47:55+0300
UNIX - администратор,60000.0,70000.0,RUR,Москва,2007-12-11T18:44:50+0300
Системный администратор,29000.0,31500.0,RUR,Москва,2007-12-03T18:44:25+0300
Web-программист,30000.0,40000.0,RUR,Москва,2007-12-03T19:10:20+0300
Программист,5000.0,10000.0,RUR,Саратов,2007-12-03T19:15:55+0300
PHP-программист,40000.0,50000.0,RUR,Москва,2007-12-03T22:39:07+0300
Менеджер по продажам,15000.0,30000.0,RUR,Екатеринбург,2007-12-04T08:49:42+0300
Руководитель департамента информационно-технического оснащения,52000.0,67000.0,RUR,Москва,2007-12-04T09:43:13+0300
Технический специалист (АТС Siemens),30000.0,40000.0,RUR,Санкт-Петербург,2007-12-04T10:15:06+0300
Специалист (Информационные технологии),38000.0,46000.0,RUR,Москва,2007-12-10T22:06:44+0300
"Ведущий программист-разработчик, системный архитектор (OFA+Oracle Express)",60000.0,80000.0,RUR,Москва,2007-12-04T11:01:17+0300
Программист баз данных,36000.0,50000.0,RUR,Москва,2007-12-04T11:27:27+0300
Менеджер по работе с юридическими лицами,15000.0,30000.0,RUR,Москва,2007-12-04T11:28:34+0300
Web-программист,26000.0,36000.0,RUR,Москва,2007-12-21T12:09:01+0300
Программист 1С,70000.0,70000.0,RUR,Москва,2007-12-04T11:32:19+0300
Программист 1С,33000.0,40000.0,RUR,Санкт-Петербург,2007-12-04T13:04:33+0300
Сервисный инженер,15000.0,28000.0,RUR,Москва,2007-12-04T14:22:20+0300
Менеджер по ведению проектов,20000.0,40000.0,RUR,Москва,2007-12-04T14:41:51+0300
Менеджер по ведению проектов,20000.0,50000.0,RUR,Москва,2007-12-04T14:43:16+0300
Веб-программист,30000.0,40000.0,RUR,Москва,2007-12-04T15:06:07+0300
Системный администратор,18000.0,25000.0,RUR,Москва,2007-12-04T15:35:00+0300
Сетевой инженер,55000.0,60000.0,RUR,Москва,2007-12-04T15:37:45+0300
Системный инженер,55000.0,60000.0,RUR,Москва,2007-12-04T15:40:25+0300
IT Директор,80000.0,100000.0,RUR,Москва,2007-12-04T15:43:46+0300
Программист 1С (8.0)/Разработчик,65000.0,75000.0,RUR,Москва,2007-12-04T16:28:52+0300
Зав.сектором техничекого обеспечения и информационных технологий,16000.0,25000.0,RUR,Екатеринбург,2007-12-04T16:31:10+0300
Системный администратор,30000.0,45000.0,RUR,Москва,2007-12-04T18:19:40+0300
Старший системный администратор,34000.0,36000.0,RUR,Москва,2007-12-04T18:44:31+0300
Системный администратор,15000.0,18000.0,RUR,Красноярск,2007-12-05T04:40:36+0300
Технический специалист по технологиям Microsoft / Intel (Компания системный интегратор),50000.0,80000.0,RUR,Москва,2007-12-05T08:57:34+0300
Программист (Web-программист),60000.0,67000.0,RUR,Москва,2007-12-05T09:10:53+0300
Начальник отдела сопровождения процессинга,80000.0,100000.0,RUR,Москва,2007-12-28T19:47:09+0300
Администратор базы данных (Oracle DBA),36000.0,36000.0,RUR,Санкт-Петербург,2007-12-05T10:11:46+0300
Системный администратор,20000.0,30000.0,RUR,Москва,2007-12-05T10:12:11+0300
Специалист по технической поддержке,15000.0,25000.0,RUR,Москва,2007-12-05T10:13:42+0300
Ведущий инженер-программист 1С 7.7. (Зарплата и Кадры),50000.0,70000.0,RUR,Москва,2007-12-05T10:30:13+0300
Системный администратор,32000.0,34000.0,RUR,Москва,2007-12-05T10:37:49+0300
Менеджер по работе с клиентами,18000.0,40000.0,RUR,Москва,2007-12-05T10:56:59+0300
Руководитель продуктового направления «системы самообслуживания» (комплексные банковские ИТ-решения),76000.0,105000.0,RUR,Москва,2007-12-05T10:57:24+0300
Руководитель центра обслуживания абонентов,20000.0,30000.0,RUR,Псков,2007-12-05T11:28:08+0300
Программист 1С 8.0,20000.0,20000.0,RUR,Новосибирск,2007-12-05T11:41:13+0300
Ведущий технический писатель,50000.0,60000.0,RUR,Москва,2007-12-05T11:56:56+0300
Руководитель проектов по внедрению ПО,60000.0,80000.0,RUR,Москва,2007-12-05T11:57:46+0300
Руководитель отдела,30000.0,90000.0,RUR,Санкт-Петербург,2007-12-05T12:09:40+0300
Системный администратор,41250.0,41250.0,RUR,Москва,2007-12-17T15:12:50+0300
Помощник системного администратора/ Help-Desk,17000.0,25000.0,RUR,Москва,2007-12-05T12:39:48+0300
Системный администратор,45000.0,55000.0,RUR,Москва,2007-12-17T15:50:40+0300
Руководитель интернет-проектов в BBDO Interactive,42000.0,53000.0,RUR,Москва,2007-12-05T14:04:54+0300
Руководитель группы развития it - инфраструктуры,60000.0,75000.0,RUR,Москва,2007-12-05T14:25:23+0300
Ведущий менеджер проектов в области информационной безопастности,150000.0,175000.0,RUR,Москва,2007-12-05T14:37:16+0300
Программист 1С,25000.0,40000.0,RUR,Нижний Новгород,2007-12-05T14:54:34+0300
Системный администратор,35000.0,40000.0,RUR,Москва,2007-12-05T14:58:10+0300
Консультант по ведению учета в отдел сопровождения ПО 1С,25000.0,40000.0,RUR,Нижний Новгород,2007-12-05T14:58:19+0300
Оператор БД,15000.0,20000.0,RUR,Москва,2007-12-05T15:24:14+0300
Директор по продажам (ПО для для комплексной автоматизации ресторанного бизнеса),100000.0,110000.0,RUR,Москва,2007-12-05T15:27:21+0300
Продакт-менеджер по ИТ-услугам,60000.0,143000.0,RUR,Москва,2007-12-05T15:44:51+0300
Консультант ITIL /ITSM,50000.0,67000.0,RUR,Москва,2007-12-05T15:45:31+0300
Пресейл-менеджер систем управления ИТ-инфраструктурой,45000.0,90000.0,RUR,Москва,2007-12-05T15:47:09+0300
Контент-менеджер корпоративного сайта,15000.0,18500.0,RUR,Санкт-Петербург,2007-12-05T15:47:23+0300
